age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,two_year_recid,c_jail_in,c_jail_out
69,F,Other,Greater than 45,Low,Male,0,-1,1,0,0,8/13/2013 6:03,8/14/2013 5:41
34,F,African-American,25 - 45,Low,Male,0,-1,3,1,1,1/26/2013 3:45,2/5/2013 5:36
24,F,African-American,Less than 25,Low,Male,4,-1,4,1,1,4/13/2013 4:58,4/14/2013 7:02
44,M,Other,25 - 45,Low,Male,0,0,1,0,0,11/30/2013 4:50,12/1/2013 12:28
41,F,Caucasian,25 - 45,Medium,Male,14,-1,6,1,1,2/18/2014 5:08,2/24/2014 12:18
43,F,Other,25 - 45,Low,Male,3,-1,4,0,0,8/29/2013 8:55,8/30/2013 8:42
39,M,Caucasian,25 - 45,Low,Female,0,-1,1,0,0,3/15/2014 5:35,3/18/2014 4:28
27,F,Caucasian,25 - 45,Low,Male,0,-1,4,0,0,11/25/2013 6:31,11/26/2013 8:26
23,M,African-American,Less than 25,Medium,Male,3,0,6,1,1,10/3/2013 4:07,10/7/2013 8:17
37,M,Caucasian,25 - 45,Low,Female,0,0,1,0,0,1/1/2013 3:28,1/2/2013 1:12
41,F,African-American,25 - 45,Low,Male,0,-1,4,0,0,10/8/2013 11:53,10/9/2013 2:16
47,F,Caucasian,Greater than 45,Low,Female,1,-20,1,1,1,10/10/2013 5:12,10/24/2013 11:30
31,F,African-American,25 - 45,Low,Male,7,22,3,1,1,6/25/2014 2:15,6/28/2014 5:02
37,M,Hispanic,25 - 45,Low,Male,0,0,1,0,0,3/24/2014 3:20,3/24/2014 9:09
25,F,African-American,25 - 45,High,Male,3,-1,10,0,0,12/21/2013 5:42,12/22/2013 9:11
31,F,Caucasian,25 - 45,Medium,Male,6,-1,5,1,1,11/16/2013 7:12,11/17/2013 8:28
31,F,Caucasian,25 - 45,Low,Male,5,-1,3,1,1,11/14/2014 1:37,11/15/2014 4:57
64,F,African-American,Greater than 45,Medium,Male,13,-1,6,1,1,5/1/2014 6:49,5/2/2014 9:28
21,F,African-American,Less than 25,High,Male,1,-1,9,1,1,4/17/2013 1:40,4/20/2013 4:19
27,M,Caucasian,25 - 45,Low,Male,0,0,2,1,1,10/16/2014 5:43,10/16/2014 12:40
21,F,Caucasian,Less than 25,Low,Female,0,-2,4,0,0,11/20/2013 4:12,11/21/2013 7:53
24,F,Hispanic,Less than 25,Low,Male,1,0,4,1,1,2/8/2013 4:50,2/9/2013 4:43
43,M,Caucasian,25 - 45,Low,Male,1,-1,1,0,0,1/24/2013 3:43,1/25/2013 9:12
32,M,Other,25 - 45,Low,Male,0,-1,3,0,0,5/10/2013 8:38,5/12/2013 3:33
27,F,African-American,25 - 45,Low,Male,8,-1,3,1,1,5/5/2013 9:07,5/22/2013 9:08
26,F,African-American,25 - 45,Medium,Male,5,-1,7,1,1,2/19/2013 7:47,2/20/2013 6:33
33,F,African-American,25 - 45,High,Male,0,0,10,1,1,10/24/2014 12:50,12/1/2014 7:49
30,F,Caucasian,25 - 45,High,Male,9,0,9,1,1,1/28/2013 2:28,3/13/2013 7:32
32,F,African-American,25 - 45,High,Male,4,-1,8,1,1,11/14/2014 3:07,11/15/2014 4:56
55,F,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,12/29/2013 6:37,12/31/2013 10:29
49,F,Other,Greater than 45,Low,Male,7,-1,3,1,1,4/3/2013 4:47,4/7/2013 2:54
33,M,Caucasian,25 - 45,Medium,Female,4,-1,5,1,1,12/2/2013 1:48,12/13/2013 5:25
24,M,Caucasian,Less than 25,Low,Male,1,0,2,1,1,9/15/2013 3:47,9/16/2013 6:50
34,F,African-American,25 - 45,High,Male,21,0,9,1,1,1/11/2013 2:19,2/13/2013 9:33
29,M,Caucasian,25 - 45,Low,Male,0,0,2,0,0,1/16/2013 12:44,1/16/2013 6:49
21,F,African-American,Less than 25,High,Female,2,-1,8,0,0,8/23/2013 10:37,11/11/2013 4:30
51,M,African-American,Greater than 45,Low,Male,2,-1,1,0,0,2/27/2013 4:44,2/28/2013 8:01
29,M,Caucasian,25 - 45,Low,Male,2,-1,2,1,1,4/5/2014 8:45,4/6/2014 1:46
51,F,African-American,Greater than 45,Low,Female,7,-1,2,0,0,2/13/2013 9:29,2/15/2013 1:35
29,F,African-American,25 - 45,Medium,Male,0,0,7,1,1,3/3/2014 4:28,3/3/2014 9:10
25,M,Caucasian,25 - 45,High,Male,9,-1,10,1,1,3/27/2014 10:17,4/3/2014 9:27
35,F,African-American,25 - 45,High,Male,13,-1,8,1,1,5/18/2014 4:05,5/19/2014 1:47
49,M,Caucasian,Greater than 45,Low,Male,0,0,1,0,0,8/2/2013 4:43,8/2/2013 8:31
29,F,African-American,25 - 45,Low,Male,0,0,4,0,0,4/24/2013 4:28,4/24/2013 8:20
29,F,Caucasian,25 - 45,Low,Male,1,-24,2,1,1,5/10/2013 5:18,5/10/2013 7:43
28,F,Other,25 - 45,Low,Female,0,-1,2,0,0,11/17/2013 9:43,11/18/2013 8:03
31,F,African-American,25 - 45,Medium,Male,15,-1,5,1,0,3/17/2013 9:02,7/31/2013 8:23
24,F,African-American,Less than 25,Low,Male,2,-1,4,1,1,9/17/2013 7:19,9/19/2013 4:16
30,M,Hispanic,25 - 45,Medium,Male,0,0,7,0,0,1/20/2013 2:50,2/12/2013 9:16
49,M,African-American,Greater than 45,Low,Male,4,-1,1,0,0,8/26/2013 9:16,8/27/2013 6:57
53,F,Caucasian,Greater than 45,Medium,Male,8,-13,5,0,0,5/15/2013 8:36,5/28/2013 10:06
35,F,African-American,25 - 45,Low,Male,5,-1,3,0,0,2/10/2013 7:44,2/11/2013 7:04
27,F,African-American,25 - 45,High,Male,15,-1,10,1,1,8/29/2014 4:58,8/30/2014 8:38
38,M,Caucasian,25 - 45,Low,Male,4,-1,2,1,1,2/3/2013 11:59,2/5/2013 11:05
22,F,African-American,Less than 25,Low,Male,1,-1,4,1,1,11/15/2013 6:56,11/16/2013 7:51
29,F,African-American,25 - 45,High,Male,4,-1,9,1,1,1/25/2013 10:34,2/13/2013 9:36
62,M,Hispanic,Greater than 45,Low,Male,0,0,1,0,0,1/8/2013 12:33,1/8/2013 9:41
27,F,African-American,25 - 45,Medium,Male,6,0,6,1,1,4/30/2014 2:11,5/30/2014 4:59
33,M,Other,25 - 45,Low,Male,0,-1,1,0,0,3/8/2014 1:34,3/9/2014 10:21
56,M,African-American,Greater than 45,Low,Female,0,0,1,0,0,9/28/2013 2:52,10/1/2013 7:39
45,F,Hispanic,Greater than 45,Low,Male,6,-1,1,1,1,1/12/2013 5:43,9/11/2013 4:51
22,F,Hispanic,Less than 25,Low,Male,1,-1,4,0,0,5/24/2013 6:06,5/25/2013 7:28
39,M,African-American,25 - 45,Low,Male,1,-1,4,0,0,3/6/2013 11:23,3/11/2013 9:00
29,F,African-American,25 - 45,Medium,Male,5,0,6,1,1,1/7/2013 2:12,1/8/2013 5:19
27,F,Caucasian,25 - 45,Medium,Male,1,-1,6,1,1,12/2/2014 3:23,12/16/2014 9:24
40,F,African-American,25 - 45,Low,Male,2,-15,2,0,0,7/2/2013 3:42,7/5/2013 8:13
22,M,African-American,Less than 25,Low,Male,1,0,3,1,1,8/25/2013 12:07,9/11/2013 8:04
22,F,Caucasian,Less than 25,High,Male,0,-1,8,0,0,2/18/2013 12:24,4/17/2013 10:32
26,F,African-American,25 - 45,Low,Female,1,-1,4,1,1,11/7/2013 9:01,11/9/2013 9:07
32,F,African-American,25 - 45,Low,Male,0,-1,2,0,0,3/3/2013 3:33,3/4/2013 7:08
41,M,African-American,25 - 45,Low,Male,1,-1,2,0,0,2/27/2013 9:49,3/1/2013 1:59
30,M,African-American,25 - 45,High,Male,8,-1,10,1,1,2/20/2013 2:14,2/21/2013 7:47
50,F,Other,Greater than 45,Low,Male,0,-1,1,1,1,8/6/2014 12:43,8/7/2014 8:29
25,F,African-American,25 - 45,High,Male,14,-1,10,1,1,4/19/2013 2:20,4/26/2013 5:45
20,F,Other,Less than 25,Medium,Male,0,-1,5,1,1,10/2/2013 5:50,10/3/2013 8:15
22,F,African-American,Less than 25,High,Male,2,0,9,1,1,1/16/2014 2:39,2/15/2014 4:39
35,M,African-American,25 - 45,Low,Female,1,-1,2,0,0,3/29/2013 6:55,3/30/2013 3:12
36,F,African-American,25 - 45,Medium,Male,9,0,7,1,1,4/29/2014 12:24,5/3/2014 4:26
26,F,Caucasian,25 - 45,High,Male,7,0,8,1,1,1/12/2013 4:53,1/12/2013 7:28
21,F,Other,Less than 25,Medium,Male,1,0,6,1,1,4/20/2013 12:30,4/24/2013 10:36
25,F,Caucasian,25 - 45,High,Male,9,-1,8,1,1,12/12/2014 7:27,12/13/2014 7:23
20,F,Caucasian,Less than 25,Medium,Female,0,-1,7,0,0,11/13/2013 11:21,11/14/2013 1:36
39,F,Caucasian,25 - 45,Low,Male,2,-2,1,1,1,2/11/2013 12:50,2/11/2013 7:33
54,M,Caucasian,Greater than 45,Low,Female,0,0,1,0,0,4/15/2013 1:07,4/15/2013 7:56
44,M,Hispanic,25 - 45,Low,Female,0,-2,1,0,0,8/18/2013 3:23,8/19/2013 6:27
19,M,African-American,Less than 25,Low,Male,1,-10,4,1,1,11/4/2014 7:39,11/13/2014 10:02
30,F,African-American,25 - 45,Low,Male,1,-1,2,0,0,9/8/2013 9:39,9/9/2013 8:03
39,F,Caucasian,25 - 45,Low,Female,0,-1,1,1,1,9/4/2013 11:36,9/6/2013 4:07
24,F,Caucasian,Less than 25,Medium,Male,8,-1,6,1,1,4/10/2013 5:59,4/22/2013 10:32
30,F,Caucasian,25 - 45,Low,Male,0,-1,4,0,0,8/28/2013 11:22,9/3/2013 10:40
31,M,Caucasian,25 - 45,Medium,Male,0,-1,5,0,0,2/20/2014 9:46,3/31/2014 9:04
39,F,Caucasian,25 - 45,Low,Female,1,-1,4,0,0,2/25/2013 7:42,6/12/2013 4:31
43,F,Caucasian,25 - 45,Low,Male,1,-30,1,0,0,7/16/2013 6:41,7/17/2013 7:35
21,F,African-American,Less than 25,High,Male,3,-1,9,1,1,3/1/2013 1:43,3/7/2013 8:20
38,M,Caucasian,25 - 45,Low,Male,5,-1,4,1,1,1/15/2013 8:16,1/18/2013 4:32
34,F,Caucasian,25 - 45,Medium,Male,0,0,5,0,0,2/15/2013 10:54,3/2/2013 9:04
33,F,African-American,25 - 45,Medium,Male,5,0,5,1,1,11/17/2013 1:23,11/17/2013 8:15
37,F,African-American,25 - 45,Low,Male,3,0,2,0,0,11/18/2013 3:46,11/19/2013 10:18
42,F,Caucasian,25 - 45,Low,Male,1,0,2,1,1,3/16/2013 3:53,3/17/2013 1:43
41,F,African-American,25 - 45,High,Male,10,0,9,1,1,9/6/2013 4:25,3/1/2014 4:39
22,F,African-American,Less than 25,Low,Male,0,-1,4,1,1,11/12/2013 3:57,11/13/2013 1:01
33,F,African-American,25 - 45,High,Male,28,-1,8,1,1,1/10/2014 8:06,1/12/2014 4:07
31,M,African-American,25 - 45,Medium,Male,1,-1,7,0,0,10/13/2013 3:47,10/14/2013 8:18
30,F,Other,25 - 45,Low,Female,1,-1,2,0,0,10/28/2013 7:07,10/29/2013 9:49
31,F,Caucasian,25 - 45,High,Male,13,-1,10,1,1,2/25/2013 6:43,6/11/2014 12:57
27,F,African-American,25 - 45,High,Male,3,-1,9,1,1,11/14/2014 12:10,11/15/2014 11:29
52,M,Caucasian,Greater than 45,High,Male,3,-2,9,0,0,7/27/2013 10:50,7/28/2013 2:01
33,F,African-American,25 - 45,High,Male,19,-1,10,1,1,12/28/2013 10:22,12/29/2013 7:10
42,F,Caucasian,25 - 45,Low,Male,6,-4,3,0,0,9/13/2013 12:01,9/13/2013 9:01
25,F,Caucasian,25 - 45,Low,Female,2,-1,4,0,0,12/22/2013 1:36,12/25/2013 2:33
30,M,Caucasian,25 - 45,Low,Male,1,-20,2,0,0,10/30/2013 6:36,11/3/2013 2:08
37,M,Other,25 - 45,Low,Female,2,-1,2,0,0,12/29/2013 10:42,12/31/2013 4:10
28,M,Caucasian,25 - 45,Low,Male,0,-1,2,1,1,12/18/2014 11:16,12/19/2014 8:34
24,M,African-American,Less than 25,Low,Female,0,-1,2,0,0,2/6/2014 1:25,2/8/2014 12:00
29,F,Caucasian,25 - 45,Low,Female,10,-1,4,1,1,11/18/2014 7:08,11/25/2014 9:31
44,M,Caucasian,25 - 45,Low,Male,2,0,2,1,1,1/27/2014 2:05,1/27/2014 1:32
32,F,African-American,25 - 45,Medium,Male,3,-1,7,1,1,1/1/2013 7:06,1/9/2013 8:36
31,M,Caucasian,25 - 45,Low,Male,2,-16,3,1,1,8/20/2013 5:28,9/4/2013 8:35
31,M,African-American,25 - 45,Low,Male,1,-1,2,1,0,1/16/2013 5:37,1/17/2013 7:15
59,F,Caucasian,Greater than 45,Low,Male,1,-1,2,1,1,4/1/2013 11:13,4/2/2013 1:06
20,F,African-American,Less than 25,High,Female,1,0,10,0,0,11/20/2013 9:36,11/23/2013 4:06
43,M,Caucasian,25 - 45,Low,Female,0,0,1,0,0,5/14/2013 4:01,5/15/2013 3:11
38,F,African-American,25 - 45,High,Male,9,-1,8,1,1,4/18/2014 2:31,5/1/2014 5:39
32,F,African-American,25 - 45,Medium,Male,11,-2,6,1,1,12/17/2014 2:03,12/18/2014 8:41
33,M,African-American,25 - 45,Medium,Male,8,-1,5,1,1,12/25/2013 7:37,12/26/2013 1:30
31,F,African-American,25 - 45,Low,Female,0,-1,3,1,1,10/22/2014 11:17,10/24/2014 6:08
33,F,African-American,25 - 45,High,Female,7,-1,9,1,1,1/10/2013 1:18,2/5/2013 5:36
27,F,African-American,25 - 45,High,Male,2,-1,9,1,1,4/15/2013 5:49,4/16/2013 7:48
20,F,African-American,Less than 25,Medium,Female,0,0,6,0,0,12/7/2013 3:39,12/7/2013 7:28
26,M,Caucasian,25 - 45,Medium,Female,0,-2,6,0,0,1/25/2014 4:45,1/26/2014 2:13
61,F,African-American,Greater than 45,Low,Female,1,-1,1,1,1,4/26/2013 7:00,4/27/2013 1:09
52,F,Other,Greater than 45,Medium,Male,13,-1,7,1,1,5/14/2013 9:51,5/16/2013 3:32
